eez_id,reporting_name,eez_type,territory1,territory1_iso3,territory2,territory2_iso3,territory3,territory3_iso3,sovereign1,sovereign1_iso3,sovereign2,sovereign2_iso3,sovereign3,sovereign3_iso3,area_km2
8430,Guatemalan Exclusive Economic Zone,200NM,Guatemala,GTM,NA,NA,NA,NA,Guatemala,GTM,NA,NA,NA,NA,110643.1317
8460,Guyanese Exclusive Economic Zone,200NM,Guyana,GUY,NA,NA,NA,NA,Guyana,GUY,NA,NA,NA,NA,135053.1489
8427,Honduran Exclusive Economic Zone,200NM,Honduras,HND,NA,NA,NA,NA,Honduras,HND,NA,NA,NA,NA,208534.4504
5673,Croatian Exclusive Economic Zone,200NM,Croatia,HRV,NA,NA,NA,NA,Croatia,HRV,NA,NA,NA,NA,55428.48497
8408,Haitian Exclusive Economic Zone,200NM,Haiti,HTI,NA,NA,NA,NA,Haiti,HTI,NA,NA,NA,NA,103497.8833
8492,Indonesian Exclusive Economic Zone,200NM,Indonesia,IDN,NA,NA,NA,NA,Indonesia,IDN,NA,NA,NA,NA,6025109.715
8333,Indian Exclusive Economic Zone (Andaman and Nicobar Islands),200NM,Andaman and Nicobar,IND,NA,NA,NA,NA,India,IND,NA,NA,NA,NA,664340.4902
8480,Indian Exclusive Economic Zone,200NM,India,IND,NA,NA,NA,NA,India,IND,NA,NA,NA,NA,1659486.575
5681,Irish Exclusive Economic Zone,200NM,Ireland,IRL,NA,NA,NA,NA,Ireland,IRL,NA,NA,NA,NA,426997.6569
8469,Iranian Exclusive Economic Zone,200NM,Iran,IRN,NA,NA,NA,NA,Iran,IRN,NA,NA,NA,NA,215347.6045
8470,Iraqi Exclusive Economic Zone,200NM,Iraq,IRQ,NA,NA,NA,NA,Iraq,IRQ,NA,NA,NA,NA,1187.501113
5680,Icelandic Exclusive Economic Zone,200NM,Iceland,ISL,NA,NA,NA,NA,Iceland,ISL,NA,NA,NA,NA,763172.7642
8375,Israeli Exclusive Economic Zone,200NM,Israel,ISR,NA,NA,NA,NA,Israel,ISR,NA,NA,NA,NA,23511.41772
5682,Italian Exclusive Economic Zone,200NM,Italy,ITA,NA,NA,NA,NA,Italy,ITA,NA,NA,NA,NA,536727.5447
8459,Jamaican Exclusive Economic Zone,200NM,Jamaica,JAM,NA,NA,NA,NA,Jamaica,JAM,NA,NA,NA,NA,257049.4206
8491,Jordanian Exclusive Economic Zone,200NM,Jordan,JOR,NA,NA,NA,NA,Jordan,JOR,NA,NA,NA,NA,97.08352206
8487,Japanese Exclusive Economic Zone,200NM,Japan,JPN,NA,NA,NA,NA,Japan,JPN,NA,NA,NA,NA,4043057.35
26522,Kazakh Exclusive Economic Zone,200NM,Kazakhstan,KAZ,NA,NA,NA,NA,Kazakhstan,KAZ,NA,NA,NA,NA,114381.0019
8349,Kenyan Exclusive Economic Zone,200NM,Kenya,KEN,NA,NA,NA,NA,Kenya,KEN,NA,NA,NA,NA,113818.6461
8331,Cambodian Exclusive Economic Zone,200NM,Cambodia,KHM,NA,NA,NA,NA,Cambodia,KHM,NA,NA,NA,NA,48697.21723
8488,Kiribati Exclusive Economic Zone (Gilbert Islands),200NM,Gilbert Islands,KIR,NA,NA,NA,NA,Kiribati,KIR,NA,NA,NA,NA,1053239.665
8450,Kiribati Exclusive Economic Zone (Phoenix Islands),200NM,Phoenix Group,KIR,NA,NA,NA,NA,Kiribati,KIR,NA,NA,NA,NA,745700.7756
8441,Kiribati Exclusive Economic Zone (Line Islands),200NM,Line Group,KIR,NA,NA,NA,NA,Kiribati,KIR,NA,NA,NA,NA,1640932.588
8413,Saint Kitts and Nevis Exclusive Economic Zone,200NM,Saint Kitts and Nevis,KNA,NA,NA,NA,NA,Saint Kitts and Nevis,KNA,NA,NA,NA,NA,9501.834335
8327,South Korean Exclusive Economic Zone,200NM,South Korea,KOR,NA,NA,NA,NA,South Korea,KOR,NA,NA,NA,NA,310220.954
8357,Kuwaiti Exclusive Economic Zone,200NM,Kuwait,KWT,NA,NA,NA,NA,Kuwait,KWT,NA,NA,NA,NA,11182.536
8374,Lebanese Exclusive Economic Zone,200NM,Lebanon,LBN,NA,NA,NA,NA,Lebanon,LBN,NA,NA,NA,NA,20185.60979
8391,Liberian Exclusive Economic Zone,200NM,Liberia,LBR,NA,NA,NA,NA,Liberia,LBR,NA,NA,NA,NA,251776.2753
8372,Libyan Exclusive Economic Zone,200NM,Libya,LBY,NA,NA,NA,NA,Libya,LBY,NA,NA,NA,NA,364446.9503
8416,Saint Lucia Exclusive Economic Zone,200NM,Saint Lucia,LCA,NA,NA,NA,NA,Saint Lucia,LCA,NA,NA,NA,NA,15412.93523
8346,Sri Lankan Exclusive Economic Zone,200NM,Sri Lanka,LKA,NA,NA,NA,NA,Sri Lanka,LKA,NA,NA,NA,NA,533545.9914
5684,Lithuanian Exclusive Economic Zone,200NM,Lithuania,LTU,NA,NA,NA,NA,Lithuania,LTU,NA,NA,NA,NA,6830.53929
5683,Latvian Exclusive Economic Zone,200NM,Latvia,LVA,NA,NA,NA,NA,Latvia,LVA,NA,NA,NA,NA,28355.97622
8367,Moroccan Exclusive Economic Zone,200NM,Morocco,MAR,NA,NA,NA,NA,Morocco,MAR,NA,NA,NA,NA,280453.1367
21790,Monégasque Exclusive Economic Zone,200NM,Monaco,MCO,NA,NA,NA,NA,Monaco,MCO,NA,NA,NA,NA,287.6109329
8348,Madagascan Exclusive Economic Zone,200NM,Madagascar,MDG,NA,NA,NA,NA,Madagascar,MDG,NA,NA,NA,NA,1196333.812
8345,Maldives Exclusive Economic Zone,200NM,Maldives,MDV,NA,NA,NA,NA,Maldives,MDV,NA,NA,NA,NA,925222.836
8429,Mexican Exclusive Economic Zone,200NM,Mexico,MEX,NA,NA,NA,NA,Mexico,MEX,NA,NA,NA,NA,3186924.407
8318,Marshall Islands Exclusive Economic Zone,200NM,Marshall Islands,MHL,NA,NA,NA,NA,Marshall Islands,MHL,NA,NA,NA,NA,2001385.965
