eez_id,year,viable,n_points,prod_mt_yr,revenue_usd_yr,cost_usd_yr,profits_usd_yr,group,species
5668,2021,1,36,570688.0236807126,1551378295.6750898,13239242560,-11687864264.324911,Bivalve,Aulacomya ater
5673,2021,1,241,3820439.2696403256,10385615812.713797,23335007368,-12949391555.286203,Bivalve,Aulacomya ater
5673,2051,1,244,3867996.6049470515,10514897337.353388,23676926944,-13162029606.646612,Bivalve,Aulacomya ater
5673,2100,1,248,3931406.3853560197,10687272703.539509,24135299552,-13448026848.460491,Bivalve,Aulacomya ater
5677,2021,1,3,47557.33530672605,129281524.63959083,257977128,-128695603.36040917,Bivalve,Aulacomya ater
5677,2051,1,61,966999.1512367629,2628724334.338347,6499913472,-3871189137.661653,Bivalve,Aulacomya ater
5679,2021,1,251,3978963.7206627456,10816554228.1791,21030002888,-10213448659.8209,Bivalve,Aulacomya ater
5679,2051,1,373,5912962.023136271,16074002896.855793,31724796704,-15650793807.144207,Bivalve,Aulacomya ater
5679,2100,1,596,9448057.280936241,25683929561.732044,50079179184,-24395249622.267956,Bivalve,Aulacomya ater
5681,2021,1,141,2235194.759416124,6076231658.060769,17346867128,-11270635469.939232,Bivalve,Aulacomya ater
5681,2051,1,334,5294716.664148833,14393343076.541113,57061465072,-42668121995.458885,Bivalve,Aulacomya ater
5681,2100,1,94,1490129.8396107494,4050821105.373846,12197158224,-8146337118.626154,Bivalve,Aulacomya ater
5682,2021,1,355,5627618.011295915,15298313749.018248,41620153712,-26321839962.98175,Bivalve,Aulacomya ater
5682,2051,1,365,5786142.462318336,15729252164.483551,43075611112,-27346358947.51645,Bivalve,Aulacomya ater
5682,2100,1,430,6816551.393964066,18530351865.00802,50060257896,-31529906030.99198,Bivalve,Aulacomya ater
5690,2021,1,194,3075374.3498349506,8360205260.026874,32024815408,-23664610147.973125,Bivalve,Aulacomya ater
5690,2051,1,118,1870588.5220645578,5085073302.490573,21919428896,-16834355593.509428,Bivalve,Aulacomya ater
5690,2100,1,228,3614357.483311179,9825395872.608904,46471759232,-36646363359.3911,Bivalve,Aulacomya ater
5691,2100,1,3,47557.33530672605,129281524.63959083,316984512,-187702987.36040917,Bivalve,Aulacomya ater
5693,2021,1,434,6879961.174373034,18702727231.19414,161991465696,-143288738464.80588,Bivalve,Aulacomya ater
5693,2051,1,2,31704.89020448403,86187683.09306055,178853368,-92665684.90693945,Bivalve,Aulacomya ater
5696,2021,1,465,7371386.972542536,20038636319.136578,80517965984,-60479329664.86342,Bivalve,Aulacomya ater
5696,2051,1,412,6531207.38212371,17754662717.170475,73590227288,-55835564570.82953,Bivalve,Aulacomya ater
5696,2100,1,315,4993520.207206234,13574560087.157038,56102556032,-42527995944.842964,Bivalve,Aulacomya ater
