eez_id,year,viable,n_points,prod_mt_yr,revenue_usd_yr,cost_usd_yr,profits_usd_yr,group,species
5670,2021,1,11,1652384.2176665333,17065970118.24055,10470212480,6595757638.240549,Finfish,Chaetodipterus faber
5670,2051,1,15,2253251.205908909,23271777433.964386,14309333504,8962443929.964384,Finfish,Chaetodipterus faber
5670,2100,1,89,13369290.488392862,138079212774.85535,85778082112,52301130662.85535,Finfish,Chaetodipterus faber
5673,2100,1,15,2253251.205908909,23271777433.964386,15038942528,8232834905.964385,Finfish,Chaetodipterus faber
5677,2021,1,901,135345289.10159513,1397858097866.794,997207394240,400650703626.79407,Finfish,Chaetodipterus faber
5677,2051,1,1492,224123386.61440617,2314766128764.9907,1694276320064,620489808700.9908,Finfish,Chaetodipterus faber
5677,2100,1,1564,234938992.40276894,2426470660448.02,1768533233024,657937427424.0199,Finfish,Chaetodipterus faber
5679,2021,1,4088,614086061.983708,6342335076669.76,4203031117120,2139303959549.7603,Finfish,Chaetodipterus faber
5679,2051,1,4017,603420672.9424058,6232181996815.662,4134522116160,2097659880655.6624,Finfish,Chaetodipterus faber
5679,2100,1,4201,631060554.4015552,6517649133338.958,4312245446080,2205403687258.9585,Finfish,Chaetodipterus faber
5682,2021,1,4516,678378829.7256422,7006356459452.21,4754473316928,2251883142524.211,Finfish,Chaetodipterus faber
5682,2051,1,4544,682584898.6433388,7049797110662.277,4782396523712,2267400586950.278,Finfish,Chaetodipterus faber
5682,2100,1,4709,707370661.9083369,7305786662435.886,4948414377024,2357372285411.8857,Finfish,Chaetodipterus faber
5685,2021,1,524,78713575.45975123,812960758359.8225,540605506752,272355251607.8225,Finfish,Chaetodipterus faber
5685,2051,1,524,78713575.45975123,812960758359.8225,540605506752,272355251607.8225,Finfish,Chaetodipterus faber
5685,2100,1,524,78713575.45975123,812960758359.8225,540605506752,272355251607.8225,Finfish,Chaetodipterus faber
5688,2021,1,3171,476337304.9291434,4919653749540.071,3577245159936,1342408589604.071,Finfish,Chaetodipterus faber
5688,2051,1,3171,476337304.9291434,4919653749540.071,3577245159936,1342408589604.071,Finfish,Chaetodipterus faber
5688,2100,1,3171,476337304.9291434,4919653749540.071,3577245159936,1342408589604.071,Finfish,Chaetodipterus faber
5691,2100,1,15,2253251.205908909,23271777433.964386,14782508736,8489268697.964385,Finfish,Chaetodipterus faber
5693,2021,1,4978,747778966.8676366,7723127204418.313,5265517776320,2457609428098.314,Finfish,Chaetodipterus faber
5693,2051,1,5374,807264798.7036318,8337502128674.973,5762401048128,2575101080546.9736,Finfish,Chaetodipterus faber
5693,2100,1,4820,724044720.8320627,7477997815447.222,5079735615296,2398262200151.222,Finfish,Chaetodipterus faber
5697,2021,1,696,104550855.95417339,1079810472935.9475,680160490048,399649982887.94745,Finfish,Chaetodipterus faber
5697,2051,1,686,103048688.48356745,1064295954646.6378,670642083328,393653871318.6379,Finfish,Chaetodipterus faber
5697,2100,1,696,104550855.95417339,1079810472935.9475,680160490048,399649982887.94745,Finfish,Chaetodipterus faber
8308,2021,1,4707,707070228.4142157,7302683758778.023,6274205676160,1028478082618.0239,Finfish,Chaetodipterus faber
8308,2051,1,4707,707070228.4142157,7302683758778.023,6274205676160,1028478082618.0239,Finfish,Chaetodipterus faber
8308,2100,1,4707,707070228.4142157,7302683758778.023,6274205676160,1028478082618.0239,Finfish,Chaetodipterus faber
8309,2021,1,2641,396722428.9870286,4097384280206.6626,3419421019584,677963260622.6627,Finfish,Chaetodipterus faber
8309,2051,1,2641,396722428.9870286,4097384280206.6626,3419421019584,677963260622.6627,Finfish,Chaetodipterus faber
8309,2100,1,2641,396722428.9870286,4097384280206.6626,3419421019584,677963260622.6627,Finfish,Chaetodipterus faber
8310,2021,1,4326,649837647.7841294,6711580611955.328,5803093703808,908486908147.3286,Finfish,Chaetodipterus faber
8310,2051,1,4326,649837647.7841294,6711580611955.328,5803093703808,908486908147.3286,Finfish,Chaetodipterus faber
8310,2100,1,4326,649837647.7841294,6711580611955.328,5803093703808,908486908147.3286,Finfish,Chaetodipterus faber
8312,2021,1,11820,1775561950.25622,18338160617963.934,16225918790656,2112241827307.9353,Finfish,Chaetodipterus faber
8312,2051,1,11820,1775561950.25622,18338160617963.934,16225918790656,2112241827307.9353,Finfish,Chaetodipterus faber
8312,2100,1,11820,1775561950.25622,18338160617963.934,16225918790656,2112241827307.9353,Finfish,Chaetodipterus faber
8313,2021,1,6271,942009220.8169845,9729154419226.043,6375420033152,3353734386074.044,Finfish,Chaetodipterus faber
8313,2051,1,6271,942009220.8169845,9729154419226.043,6375420033152,3353734386074.044,Finfish,Chaetodipterus faber
8313,2100,1,6271,942009220.8169845,9729154419226.043,6375420033152,3353734386074.044,Finfish,Chaetodipterus faber
8314,2021,1,16141,2424648514.3050466,25041983970774.61,16400480554560,8641503416214.607,Finfish,Chaetodipterus faber
8314,2051,1,16141,2424648514.3050466,25041983970774.61,16400480554560,8641503416214.607,Finfish,Chaetodipterus faber
8314,2100,1,16141,2424648514.3050466,25041983970774.61,16400480554560,8641503416214.607,Finfish,Chaetodipterus faber
8315,2021,1,6184,928940363.8227129,9594178110109.049,6568528206016,3025649904093.0503,Finfish,Chaetodipterus faber
